team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
Pakistan,Shaheen Shah Afridi (Pakistan),bowl,60,45,3,0.05,0.75,South Africa,Chennai,27-Oct-23,10,0,4.5,2,,,,,
England,DJ Willey (England),bowl,60,45,3,0.05,0.75,India,Lucknow,29-Oct-23,10,2,4.5,1,,,,,
New Zealand,MJ Henry (New Zealand),bowl,60,48,3,0.05,0.8,England,Ahmedabad,5-Oct-23,10,1,4.8,1,,,,,
New Zealand,LH Ferguson (New Zealand),bowl,60,49,3,0.05,0.816666667,Bangladesh,Chennai,13-Oct-23,10,0,4.9,1,,,,,
Afghanistan,Noor Ahmad (Afghanistan),bowl,60,49,3,0.05,0.816666667,Pakistan,Chennai,23-Oct-23,10,0,4.9,1,,,,,
Afghanistan,Mujeeb Ur Rahman (Afghanistan),bowl,60,51,3,0.05,0.85,England,Delhi,15-Oct-23,10,1,5.1,2,,,,,
England,AU Rashid (England),bowl,48,54,3,0.0625,1.125,Netherlands,Pune,8-Nov-23,8,0,6.75,2,,,,,
Netherlands,LV van Beek (Netherlands),bowl,53,60,3,0.056603774,1.132075472,South Africa,Dharamsala,17-Oct-23,8.5,0,6.79,2,,,,,
Bangladesh,Mehidy Hasan Miraz (Bangladesh),bowl,54,60,3,0.055555556,1.111111111,Pakistan,Eden Gardens,31-Oct-23,9,0,6.66,2,,,,,
Pakistan,Mohammad Wasim (1) (Pakistan),bowl,60,60,3,0.05,1,New Zealand,Bengaluru,4-Nov-23,10,0,6,1,,,,,
South Africa,G Coetzee (South Africa),bowl,60,62,3,0.05,1.033333333,Bangladesh,Wankhede,24-Oct-23,10,0,6.2,2,,,,,
South Africa,G Coetzee (South Africa),bowl,54,68,3,0.055555556,1.259259259,Sri Lanka,Delhi,7-Oct-23,9,0,7.55,2,,,,,
Sri Lanka,D Madushanka (Sri Lanka),bowl,60,69,3,0.05,1.15,Bangladesh,Delhi,6-Nov-23,10,1,6.9,2,,,,,
Australia,A Zampa (Australia),bowl,60,74,3,0.05,1.233333333,New Zealand,Dharamsala,28-Oct-23,10,0,7.4,2,,,,,
Netherlands,BFW de Leede (Netherlands),bowl,60,74,3,0.05,1.233333333,England,Pune,8-Nov-23,10,0,7.4,1,,,,,
Bangladesh,Shoriful Islam (Bangladesh),bowl,60,75,3,0.05,1.25,England,Dharamsala,10-Oct-23,10,0,7.5,1,,,,,
New Zealand,TA Boult (New Zealand),bowl,60,77,3,0.05,1.283333333,Australia,Dharamsala,28-Oct-23,10,0,7.7,1,,,,,
Bangladesh,Tanzim Hasan Sakib (Bangladesh),bowl,60,80,3,0.05,1.333333333,Sri Lanka,Delhi,6-Nov-23,10,0,8,1,,,,,
Pakistan,Haris Rauf (Pakistan),bowl,48,83,3,0.0625,1.729166667,Australia,Bengaluru,20-Oct-23,8,0,10.37,1,,,,,
England,RJW Topley (England),bowl,53,88,3,0.056603774,1.660377358,South Africa,Wankhede,21-Oct-23,8.5,0,9.96,1,,,,,
India,Kuldeep Yadav (India),bowl,31,7,2,0.064516129,0.225806452,South Africa,Eden Gardens,5-Nov-23,5.1,1,1.35,2,,,,,
Sri Lanka,AD Mathews (Sri Lanka),bowl,30,14,2,0.066666667,0.466666667,England,Bengaluru,26-Oct-23,5,1,2.8,1,,,,,
Afghanistan,Mohammad Nabi (Afghanistan),bowl,36,16,2,0.055555556,0.444444444,England,Delhi,15-Oct-23,6,0,2.66,2,,,,,
New Zealand,GD Phillips (New Zealand),bowl,18,17,2,0.111111111,0.944444444,England,Ahmedabad,5-Oct-23,3,0,5.66,1,,,,,
New Zealand,TA Boult (New Zealand),bowl,42,18,2,0.047619048,0.428571429,Afghanistan,Chennai,18-Oct-23,7,1,2.57,2,,,,,
India,Mohammed Shami (India),bowl,24,18,2,0.083333333,0.75,South Africa,Eden Gardens,5-Nov-23,4,0,4.5,2,,,,,
India,JJ Bumrah (India),bowl,42,19,2,0.047619048,0.452380952,Pakistan,Ahmedabad,14-Oct-23,7,1,2.71,1,,,,,
Australia,MR Marsh (Australia),bowl,24,19,2,0.083333333,0.791666667,Netherlands,Delhi,25-Oct-23,4,0,4.75,2,,,,,
England,DJ Willey (England),bowl,42,19,2,0.047619048,0.452380952,Netherlands,Pune,8-Nov-23,7,2,2.71,2,,,,,
New Zealand,R Ravindra (New Zealand),bowl,46,21,2,0.043478261,0.456521739,Sri Lanka,Bengaluru,9-Nov-23,7.4,0,2.73,1,,,,,
New Zealand,MJ Santner (New Zealand),bowl,60,22,2,0.033333333,0.366666667,Sri Lanka,Bengaluru,9-Nov-23,10,2,2.2,1,,,,,
India,Kuldeep Yadav (India),bowl,48,24,2,0.041666667,0.5,England,Lucknow,29-Oct-23,8,0,3,2,,,,,
